,Time Stamp,Region,Total Cases,Daily New Cases,Risk-Score,Risk-Level,Rank,RS Diff,Trend
74,2020-09-15,HARBOR GATEWAY,951,0.0,0.0,0,84,0.0,Neutral
75,2020-09-15,WEST HILLS,547,0.0,0.0,0,84,0.0,Neutral
76,2020-09-15,LAKEWOOD,1219,1.0,0.0,0,84,0.0,Neutral
77,2020-09-15,LONGWOOD,112,0.0,0.0,0,84,0.0,Neutral
78,2020-09-15,RESEDA,2064,,0.0,0,84,0.0,Neutral
79,2020-09-15,BRENTWOOD,278,1.0,0.0,0,84,0.0,Neutral
80,2020-09-15,REGENT SQUARE,30,0.0,0.0,0,84,0.0,Neutral
81,2020-09-15,BRADBURY,14,0.0,0.0,0,84,0.0,Neutral
82,2020-09-15,ANGELES NATIONAL FOREST,2,0.0,0.0,0,84,0.0,Neutral
83,2020-09-15,SYCAMORE SQUARE,5,0.0,0.0,0,84,0.0,Neutral
84,2020-09-15,HIDDEN HILLS,6,0.0,0.0,0,84,0.0,Neutral
85,2020-09-15,MONROVIA,728,5.0,0.0,0,84,0.0,Neutral
86,2020-09-15,CRESTVIEW,185,0.0,0.0,0,84,0.0,Neutral
87,2020-09-15,MANCHESTER SQUARE,190,,0.0,0,84,0.0,Neutral
88,2020-09-15,HARVARD HEIGHTS,543,,0.0,0,84,0.0,Neutral
89,2020-09-15,GLENDORA,1221,0.0,0.0,0,84,0.0,Neutral
90,2020-09-15,WEST LOS ANGELES,526,0.0,0.0,0,84,0.0,Neutral
91,2020-09-15,RESEDA RANCH,110,0.0,0.0,0,84,0.0,Neutral
92,2020-09-15,ROLLING HILLS ESTATES,40,0.0,0.0,0,84,0.0,Neutral
93,2020-09-15,ROLLING HILLS,11,0.0,0.0,0,84,0.0,Neutral
94,2020-09-15,SIGNAL HILL,264,0.0,0.0,0,84,0.0,Neutral
95,2020-09-15,SAN DIMAS,503,2.0,0.0,0,84,0.0,Neutral
96,2020-09-15,LA VERNE,475,0.0,0.0,0,84,0.0,Neutral
97,2020-09-15,VIEW HEIGHTS,43,0.0,0.0,0,98,-0.0003349354047346466,Neutral
98,2020-09-15,PLAYA VISTA,204,1.0,0.0,0,99,-0.0004123852422616425,Neutral
99,2020-09-15,FAIRCREST HEIGHTS,30,0.0,0.0,0,100,-0.0005348496378762106,Neutral
100,2020-09-15,ELYSIAN PARK,94,0.0,0.1837243080886358,1,101,-0.0006051423824610103,Neutral
101,2020-09-15,RANCHO PALOS VERDES,285,0.0,0.0,0,102,-0.0006521049942515011,Neutral
102,2020-09-15,PALMDALE,3904,13.0,0.0,0,103,-0.0015302367415739907,Neutral
103,2020-09-15,HYDE PARK,765,0.0,1.3730712730571917,2,104,-0.0019372795937775411,Neutral
104,2020-09-15,REYNIER VILLAGE,39,0.0,0.0,0,105,-0.002437749755181795,Neutral
105,2020-09-15,MID-CITY,275,3.0,1.0305699411880391,2,106,-0.004026083221961296,Neutral
106,2020-09-15,EXPOSITION,75,0.0,0.2343043609569569,1,107,-0.004996485457964148,Neutral
107,2020-09-15,WINNETKA,1181,1.0,1.6187283569222457,2,108,-0.005156502535815566,Neutral
108,2020-09-15,HANCOCK PARK,217,2.0,0.463894358941271,1,109,-0.005258109511703468,Neutral
109,2020-09-15,PALISADES HIGHLANDS,26,0.0,0.0,0,110,-0.005265764807763029,Neutral
110,2020-09-15,UNIVERSITY HILLS,51,0.0,0.14314521883998252,1,111,-0.0057169607574793085,Neutral
111,2020-09-15,WHITTIER,2266,4.0,1.4848989573821092,2,112,-0.005791050039424928,Neutral
112,2020-09-15,SOUTH WHITTIER,1769,7.0,1.4848989573821092,2,112,-0.005791050039424928,Neutral
113,2020-09-15,LITTLE BANGLADESH,472,1.0,0.5300863533516775,1,114,-0.0073136428702936795,Neutral
114,2020-09-15,TARZANA,602,2.0,1.070374887568987,2,115,-0.007327193004469601,Neutral
115,2020-09-15,PLAYA DEL REY,27,0.0,0.0,0,116,-0.00744917276399513,Neutral
